Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours
KATIE,-13.8706,29.925,Central Province,Central Province,Central,Petauke Mission,Central Province,40 KM SE of Petauke mission,Gold,,,INACTIVE,HYDROTHERMAL QUARTZ VEINS,"FIVE BLOCKS OF CLAIMS (KATIE EXTENSION) AND FOUR BLOCKS OF CLAIMS (PETAUKE) COMPRISE NO 62, LOCATED ON A RIDGE BETWEEN THE PETAUKE AND MSAKA STREAMS MINERALIZATION CONSISTS OF: A) THIN (A FEW CM WIDE) IRON STAINED GOLD BEARING QUARTZ LENSES THAT FOLLOW THE FOLIATION OF THE BEDROCK (SANDY MICACEOUS SCHISTS); B) A 12 M TO 18 M WIDE GOLD BEARING DYKE; C) A SERIES OF THIN CROSS-CUTTING GOLD BEARING QUARTZ VEINS OR STRINGERS THE DYKE EXPOSED IN 11 TRENCHES AND A SHAFT APPEARS TO BE THE MOST IMPORTANT GOLD BEARING UNIT OF 12 SAMPLES OF DYKE MATERIAL TAKEN FROM THE DUMP, 3 ASSAYED 85 G AU/T, 1 ASSAYED 153 G AU/T AND ONE 75 G AU/T ZAMEX EXAMINED IN 1961 AND DESCRIBED THE SHOWING AS AN ANTICLINAL STRUCTURE OF INDURATED MICACEOUS QUARTZITE INTERBEDDED WITH QUARTZ-MICA SCHISTS BEST CHANNEL SAMPLE GAVE 17 G AU/T OVER 91 M WITH ONE GRAB SAMPLE AT 75 G AU/T",WIDESPREAD GOLD MINERALIZATION WARRANTS A RE-INVESTIGATION.,269.3828186,3.84832598
KAWENISHA,-14.5,29.5833,Central Province,Central Province,Central,Approximately 7 Km Nw (?) Of Chief Kawenishas Village,Central Province,Approximately 18 KM east of old Mkushi,Beryl,,,UNKNOWN,BERYL-BEARING PEGMATITE,"THE PEGMATITE CROPS OUT FOR 195 M BY 15 M, STRIKING 40° IT IS ZONED WITH BARREN QUARTZ, FELDSPAR AND MICA AT THE ENDS, AND THE SAME MINERALS WITH ACCESSORY BERYL IN THE CENTRAL 80-90 M THE BERYL IS ABUNDANT IN PLACES, BUT AS EXPOSED IN PITS IS ALL CLOUDY AND CHARGED WITH INCLUSIONS IT OCCURS AS BLUE-GREEN CRYSTALS AVERAGING <1 CM TO 15 CM AND IS HIGHLY FRACTURED NO GEMS HAVE BEEN FOUND","ALTHOUGH IT IS POSSIBLE THAT BETTER QUALITY MATERIAL IS PRESENT AT DEPTH, THE CHANCE OF FINDING SIGN...",287.9906567,4.114152239
BUFFALO - QUAGGA CHATEKA,-14.6375,29.3914,Central Province,Central Province,Central,Western End Of Lunsemfwa Valley,Central Province,125 KM NE of Lusaka,Gold,,,UNKNOWN,HYDROTHERMAL QUARTZ VEINS,"UNCLASSIFIED THICK SEQUENCE OF SHEAR-FOLDED SCHIST AND QUARTZITE WITH THE CHATEKA OCCURRING AT THE W CONTACT OF A SYNTECTONIC HORNBLENDE-GRANITE BUFFALO-QUAGGA (NO 168, RMC 35 AND 116) IS LOCATED AT LAT 14°38'S, LONG 29°23'E, AND CONSISTS OF OLD TRENCHES EXPOSING QUARTZ VEINLETS (AVERAGE THICKNESS LESS THAN 03 M) CARRYING MALACHITE, TOURMALINE, IRON OXIDES AND BISMUTH MINERALS ASSAYED HIGH GOLD VALUES, BUT THESE WERE NOT CONTROLLED CHATEKA (NO 165, RMC 117) IS LOCATED AT LAT 15°02'S, LONG 29°28'E, AND CONSISTS OF QUARTZ RUBBLE OVER A 60 M SQ AREA THAT ASSAYED UP TO 48 G AU/T, BUT AVERAGED LESS THAN ONE G AU/T",THE NARROW NATURE OF THE QUARTZ VEINS COUPLED WITH THE BELIEVED SURFACE ENRICHED GOLD MAKE THE DEPOSIT OF LOW PRIORITY.,287.2223739,4.10317677
KAMPUMBA,-14.5,29.0833,Central Province,Central Province,Central,12.8 Km Sw Of The Lunsemfwa Power Station,Central Province,78 KM by road from Kabwe,Iron,Manganese,,INACTIVE,REPLACEMENT DEPOSIT,"THE DEPOSIT IS REPORTED BY GUERNSEY TO BE A REPLACEMENT OF IMPURE LIMESTONE IN THE BASEMENT IT FORMS THREE PROMINENT HILLS (EAST, MIDDLE AND WEST) ALONG A DISTANCE OF 2,400 M AND HAS A MAXIMUM WIDTH OF 30 M THE MN ORE OCCURS AS RUBBLE AND SURFACE ENRICHED SOLID ROCK THE MN ORE IS MAINLY PSILOMELANE WITH LOCAL ENRICHMENT OF BRAUNITE HAUSMANNITE AND LATE VEINS OF PYROLUSITE ARE FAIRLY COMMON AT DEPTH THE MN GIVES WAY TO MASSIVE HEMATITE WITH A LITTLE MAGNETITE THOUGH A FEW VEINLETS OF MN PERSIST REPRESENTATIVE SAMPLES QUOTED BY GUERNSEY RAN 6773% AND 5753% FE, 005% P2O5 ACCORDING TO GEOLOGICAL SURVEY DATA CARDS, THE SILICA RANGES FROM 01% TO 14%",Mineralization: IRON; Formation: BUT IN ECONOMIC TERMS IT IS EXPECTED BY MGM THAT IT WILL NOT COMPETE FAVOURABLY WITH THE SANJE GROUP.,256.1292503,3.65898929
MKUSHI COPPER - KATUNGA SECTION,-13.75,29,Central Province,Mkushi,Central > Mkushi,Mkushi District,Mkushi,80 KM NE of Kabwe,Copper,Gold,Emerald,INACTIVE,FREEMAN (1989) ESTIMATED A POSSIBLE ONE MILLION T AT 1.2% Cu (0.4% Cu CUT-OFF) IN FOUR SEPARATE BODIES.,DISSEMINATED SULPHIDES HYDROTHERMAL (?) PORPHYRY COPPER (?),"Rock types: SCHIST, GNEISS; Mineralization: CHALCOPYRITE, PYRITE.",183.873735,2.626767643
UMBA RIVER,-14.3333,30.6333,Eastern Province,Nyimba,Eastern > Nyimba,Within Western Part Of Former Nyimba Mining Licence 123 8 Km NNW Of Nyimba Township,Nyimba,About 370 road KM ENE of Lusaka 85 KM west of Petauke,Gold,,Silver,INACTIVE,NIL,VOLCANOGENIC (?) STRATIFORM MASSIVE SULPHIDE,"Rock types: GRANITE, QUARTZITE, SCHIST; Mineralization: COPPER, MALACHITE, GOLD; Formation: IT CONSISTS OF PRECAMBRIAN ROCKS OF THE MUVA GROUP.",361.4811997,5.164017139
NYIMBA-PETAUKE AREA - CHIPIRINYUWA PROSPECT (ALSO NGAMBUA LUTALA HILLS NOAKE),-14.3333,30.6333,Eastern Province,Nyimba,Eastern > Nyimba,Within Nyimba Mining Licence 123,Nyimba,370 KM ENE of Lusaka,Zinc,Lead,Copper,INACTIVE,"AT CHIPIRINYUWA FREEMAN (1989) ESTIMATES THAT WITHIN THE MINERALIZATION IDENTIFIED TO DATE (WITH ONLY 6 HOLES AND SURFACE WORK) ASSUMING THE MINERALIZATION IS CONTINUOUS USING STRIKE LENGTHS OF 400-800 M, DIP LENGTHS OF 200 M AND THICKNESSES OF 2.5-3.0 M THERE ARE TWO ZONES CONTAINING ABOUT 1.3 MILLION T @ 4.0% Zn AND 0.8 MILLION T @ 3.79% Zn.",VOLCANOGENIC (?) STRATIFORM MASSIVE SULPHIDE,"Rock: Granite, Quartzite; Minerals: Copper; Formation: Muva Group",361.4811997,5.164017139
SHANKALAMA - CHIBONTI,-14.1833,30.0833,Central Province,Central Province,Central,Lunsemfwa Valley,Central Province,140 KM NNW of Petauke,Gold,,,UNKNOWN,ALLUVIAL GOLD,ALLUVIAL GOLD IN THE GRAVELS OF THE SHANKALAMA CHIBONTI AND CHISANGA RIVERS DRAINING BASIC TO ULTRABASIC INTRUSIVES REGIONAL GEOLOGY TO THE SOUTH SHOWS THIS AREA TO BE ON THE EASTERN EDGE OF THE MULUNGUSHI BELT UNDERLAIN BY QUARTZ SCHIST AND QUARTZITE WITH MINOR AMPHIBOLITE CONSIDERED CLASTIC DEPOSITIONS OF THE MIDDLE MUVA UPPER PROTEROZOIC DEFORMATION ILLUSTRATED BY SHEAR FOLDING AND INTRUSION OF 15 X 08 KM MAIN BODY OF GABBRO PYROXENITE SERPENTINITE AND TALC SCHIST WHOSE SHEARED MARGINS OCCUR AS CHLORITE SCHIST AND IRON FM CUT BY NUMEROUS QUARTZ VEINLETS,Minerals: Gold,303.3757503,4.33393929
MPONGO,-14.3167,30.1667,Central Province,Central Province,Central,Lunsemfwa Valley - 3 Km From East Bank Of The Lunsemfwa River,Central Province,240 KM east of Kabwe 31 KM NE of Mkushi,Copper,Zinc,Lead,INACTIVE,"FREEMAN (1989) USING A CUT-OFF OF 1% Cu OR 3.75% Zn OVER A TRUE WIDTH OF AT LEAST 1.5 M AND A TONNAGE FACTOR OF 3.1 T/CU M ESTIMATED TWO SULPHIDE ZONES (FROM 30-150 M) TO CONTAIN RESOURCES OF: COPPER-RICH ZONE - 733,000 T @ 1.47% Cu, 1.55% Zn, 0.62% Pb & 39.4 G/T Ag ZINC-RICH ZONE - 158,000 T @ 0.15% Cu, 6.4% Zn, 0.98% Pb & 19.4 G/T Ag PRIOR ESTIMATES BY ZAMANGLO AND FREEMAN ARE VERY SIMILAR TO FREEMANS NEW NUMBERS.",STRATIFORM MASSIVE SULPHIDE,"Rock types: QUARTZITE, SCHIST, CONGLOMERATE; Mineralization: COPPER, CHALCOPYRITE, PYRITE; Formation: PART OF LUNSEMFWA GROUP.",319.5291825,4.564702607
NYIMBA (KAPEEPU),-14.5039,30.7586,Eastern Province,Nyimba,Eastern > Nyimba,Near Villages Of Nyimba And Kapeepu,Nyimba,60 KM west of Petauke,Tourmaline,Beryl,,UNKNOWN,PEGMATITES,THIS AREA IS MENTIONED BY MONEY (1989) AND BY PATNEY AND TETHER (1989-7) THE PEGMATITE OCCUR IN A NW TRENDING BELT SOME 20 KM W OF THE KNOWN EXPOSURES OF THE SINDA BATHOLITH TO WHICH THEY ARE BELIEVED TO BE RELATED ESSENTIALLY THEY ARE HIGH-TEMPERATURE PEGMATITE HENCE THE PRESENCE OF TOURMALINE BUT DID NOT HAVE A SIGNIFICANT PHASE IN WHICH GEM BERYLS WERE PRODUCED THE AREA HAS REPORTEDLY PRODUCED GOOD QUALITY PINK AND GREEN TOURMALINE BUT THE ONLY SAMPLES OFFERED TO MGM WERE DARK GREEN SUB-OPAQUE SEMI-GEMS THAT DO NOT COMPARE WITH MADAGASCAR BI-COLOURS,THE NYIMBA PEGMATITES ARE OF A DIFFERENT FAMILY TO THOSE AT LUNDAZI AND DO NOT SEEM TO HAVE THE ECONOMIC POTENTIAL OF THE LATTER LOCALITY.,383.2591367,5.475130525
NCHONCHO,-14.9833,30.0333,Central Province,Central Province,Central,0.8 Km South Of The Great East Road 43 Km East Of Rufunsa,Central Province,211 KM by road east of Lusaka,Gold,Bismuth,,UNKNOWN,QUARTZ VEIN SYSTEM,THE QUARTZ VEIN SYSTEM IS ASSOCIATED WITH A NARROW BUT EXTENSIVE SHEAR ZONE TRENDING 70° DIP STEEP W CUTTING BASEMENT GNEISSES THE VEINS CONTAIN QUARTZ AND TOURMALINE THEY SPLIT AND PINCH AND SWELL ALONG STRIKE AND ARE AS MUCH AS 60 M LONG INDIVIDUALLY AND 21 M WIDE THE TOURMALINE MAKES UP 5% TO 10% OF THE VEIN MATERIAL AND OCCURS WITH SPECULAR HEMATITE AND SMALL POCKETS OF EARTHY PALE YELLOWISH TO GREENISH-GREY BISMUTITE SAMPLING RECORDS RANGE FROM NIL TO A MAXIMUM OF 174% BI IN TRENCH 30-A NO GOLD ASSAYS ARE ON RECORD,Minerals: Gold,360.2985351,5.14712193
LUANGUA BRIDGE GROUP,-14.7542,30.0083,Central Province,Central Province,Central,Near The Luangwa River Bridge And A Number Of Other Localities,Central Province,50 to 100 KM east of Rufunsa,Mica,Beryl,Tourmaline,UNKNOWN,UNKNOWN,PEGMATITE,THE PEGMATITES WERE REPORTED BY FREEMAN TO CONTAIN SCATTERED CRYSTALS OF GREEN BERYL MEASURING UP TO 15 CM IN DIAMETER.,339.660033,4.852286186
HUMBI,-14.5,31.3333,Eastern Province,Eastern Province,Eastern,Near Humbi Village,Eastern Province,32 KM south of Petauke,Copper,Cobalt,Silver,INACTIVE,NIL,COPPER OCCURRENCE,"Rock types: GRANITE, GNEISS; Mineralization: CHALCOPYRITE, PYRITE.",435.4698378,6.220997683
CYMRIC,-14.0833,32.9667,Eastern Province,Chadiza,Eastern > Chadiza,Chadiza District Eastern Province,Chadiza,35 KM SE of Chipata,Gold,,,UNKNOWN,ALTERATION ZONE METAMORPHIC (?) HYDROTHERMAL (?),PROSPECT LOCATED NEAR THE SOUTH BANK OF THE NYERERE RIVER ACCORDING TO NORTH CHARTERLAND AT THE CONTACT OF A METAVOLCANIC INLIER WITHIN A MONOTONOUS LEUCOCRATIC GNEISS UNIT THAT CONTAINS SOME BIOTITE-QUARTZ SCHIST HORIZONS THE INLIER IS INTRUDED BY SERPENTINITES AND DIABASE PORPHYRY AND MAY BE ASSOCIATED WITH VOLCANIC ACTIVITY THE DIABASE PORPHYRY IS COMPOSED PREDOMINANTLY OF MEDIUM TO COARSE GRAINED PLAGIOCLASE AND CLINOPYROXENE WITH DEVITRIFIED GLASS IN THE INTERSTICES IMPLICATING A HYPABYSSAL ORIGIN FOLIATION STRIKES GENERALLY WNW TO NNE AND APPEARS TO HAVE BEEN AFFECTED BY SUBSEQUENT GENTLE FOLDING A FEW TRAVERSES BY MINEX SOUTH OF THE PROSPECT SHOWED AREAS MAPPED BY NORTH CHARTERLAND AS QUARTZITES TO BE A WELL FOLIATED (EPIDOTE +/- CHLORITE)-ACTINOLITE-QUARTZ SCHIST AN INTERMEDIATE META-VOLCANIC OR META-CALC-ARENITE AND THE QUARTZITES TO BE LESS EXTENSIVE THAN AS MAPPED LOCALLY TUFFS AND BASIC LAVAS ARE INTERBEDDED RATHER THAN AS SEPARATE UNITS AS MAPPED THE TUFFS ARE A CLASTIC GREENISH-GREY ROCK COMPOSED OF ASH TO LAPILLI-SIZED SUBANGULAR FELSIC FRAGMENTS AND ROUNDED TO SUBANGULAR EPIDOTE-ACTINOLITE-QUARTZITE PEBBLES THAT ACCORDING TO MINEX HAVE MORE THE APPEARANCE OF A CONGLOMERATE THAN AN AGGLOMERATE THE TRENCHES EXPOSE QUARTZ VEIN RUBBLE REDDISH COLOURED SCHIST DARK WEATHERED MICA SCHIST AND MICACEOUS QUARTZITES THE ROCK APPARENTLY MINED IS A FINE-GRAINED GREENISH COLOURED QUARTZ-CHLORITE-EPIDOTE SCHIST CONTAINING NARROW QUARTZ STRINGERS AND LOOKING ALTERED TO A WHITE QUARTZ-KAOLINITE ROCK A WELL DEVELOPED ALTERNATION OF HARD AND SOFT BEDS UP TO 1 M THICK IS PRESENT TWO SETS OF SCHISTOSITY ARE PRESENT WITHOUT PARALLEL TO THE BEDDING NO VISIBLE GOLD WAS OBSERVED EITHER IN THE ROCKS,Minerals: Gold,579.8480142,8.28354306
ITAPIRA,-15.45,26.5,Northern Province,Mumbwa,Northern > Mumbwa,East Of The Kafue National Park South Of The Mumbwa Road,East Of The Kafue National Park South Of The Mumbwa Road,80 KM SW of Mumbwa,Diamond,,,UNKNOWN,DIAMOND OCCURRENCE,THE BEDROCK GEOLOGY IN THE AREA IS BELIEVED TO BE LIMITED TO GRANITE NO KIMBERLITES WERE FOUND,Mineralization: DIAMOND.,355.522789,5.078896986
SONKWE - ITAPIRA GROUP,-15.2542,26.5072,Northern Province,Kafue,Northern > Kafue,North Of The Kafue,North Of The Kafue,45 to 85 KM SW of Mumbwa,Iron,,,UNKNOWN,MAINLY SEDIMENTARY IRON FORMATION,SONKWE: 22 KM WNW OF NAMAZOMBO SEDIMENTARY IRON FORMATION ASSOCIATED WITH KUNDELUNGU PYROCLASTICS AND SPILITES HEMATITE-JASPER-SULPHIDE MINERALIZATION GRADING 40% TO 50% FE SONKWE NORTH: ONE KM W OF SONKWE SIMILAR TO SONKWE 50% TO 60% FE KNAKO: 19 KM WNW OF NAMWALA SEDIMENTARY IRON FORMATION ASSOCIATED WITH KUNDELUNGU PYROCLASTICS AND PEBBLY GRITS <1 MILLION T @ 40% TO 50% FE ITAPIRA: 20 KM WNW OF NAMSENGA SMALL ELONGATED NE OF SEDIMENTARY OR REPLACEMENT IRON FORMATION ASSOCIATED WITH SCHIST AND GRANITE-GNEISS CONSISTS OF HEMATITE AND CHERT ITAPIRA NORTH: 18 KM W OF ITAPIRA SMALL SKARN DEPOSIT ASSOCIATED WITH SYENITE CONSISTS OF HEMATITE AND CHERT,THE OCCURRENCES ARE TOO REMOTE TO BE OF ECONOMIC INTEREST.,335.4669956,4.792385651
MANAKUMBO (SMASHIKAULA) GROUP,-15.2542,26.9242,Northern Province,Vicinity Of Manakumbo Village,Northern > Vicinity Of Manakumbo Village,Vicinity Of Manakumbo Village,Vicinity Of Manakumbo Village,40 KM south of Mumbwa,Iron,,,INACTIVE,SKARN AND SEDIMENTARY IRON DEPOSITS,SMASHIKAULA NORTH: 105 KM N OF MANAKUMBO MAGNETITE IN SEDIMENTARY BANDED IRONSTONE VERY SIMILAR TO NKOMBWA (SEE) SMASHIKAULA SOUTH: 9 KM N OF MANAKUMBO A HILL ELONGATED NE RISING 35 M ABOVE THE SURROUNDING FLATS MASSIVE MAGNETITE WITH SOME HYDROXIDES AND RARE PY PO AND CP THE DEPOSIT IS DESCRIBED AS A SYNFORM IN WHICH LIMESTONES HAVE BEEN METASOMATICALLY REPLACED THE DEPOSIT MEASURES 300 X 20 M AND WAS INVESTIGATED BY DRILLING BY GEOZAVOD IN 1966 NEWSE: 12 KM WNW OF MANAKUMBO SMALL HEMATITE-SULPHIDES SKARN DEPOSIT 30% TO 40% FE KMANAKUMBO: 6 KM WNW OF MANAKUMBO TABULAR MAGNETITE-HEMATITE SKARN OR REWORKED SEDIMENTARY DEPOSIT 40% TO 50% FE MANAGAZI: 5 KM N OF MANAKUMBO SMALL HEMATITE-MAGNETITE SKARN DEPOSIT 40% TO 50% FE MUSEFU: 20 KM WNW OF MANAKUMBO SEDIMENTARY IRON FORMATION FORMING PART OF THE SONKWE-NKOMBWA RANGE MASSIVE HEMATITE AND JASPER KILOMBWA-MASUNA: 24 KM WNW OF MANAKUMBO SEDIMENTARY IRON FORMATION FORMING PART OF SONKWE-NKOMBWA RANGE MASSIVE HEMATITE AND TACONITE,THESE DEPOSITS MAY BE CONSIDERED FOR MINING TO FEED A CENTRAL SMELTER BUT ARE NOT HIGH PRIORITY IN MGMs OPINION.,318.621535,4.551736214
MAMBALA GROUP,-15.2542,27.1742,Central Province,Central Province,Central,Vicinity Of Mambala Village,Central Province,40 KM south of Mumbwa,Iron,,,INACTIVE,SKARN AND SEDIMENTARY IRON DEPOSITS,MAMBALA NORTH: 105 KM N OF MAMBALA MAGNETITE IN SEDIMENTARY BANDED IRONSTONE VERY SIMILAR TO NKOMBWA (SEE) MAMBALA SOUTH: 9 KM N OF MAMBALA A HILL ELONGATED NE RISING 35 M ABOVE THE SURROUNDING FLATS MASSIVE MAGNETITE WITH SOME HYDROXIDES AND RARE PY PO AND CP THE DEPOSIT IS DESCRIBED AS A SYNFORM IN WHICH LIMESTONES HAVE BEEN METASOMATICALLY REPLACED THE DEPOSIT MEASURES 300 X 20 M AND WAS INVESTIGATED BY DRILLING BY GEOZAVOD IN 1966,THESE DEPOSITS MAY BE CONSIDERED FOR MINING TO FEED A CENTRAL SMELTER BUT ARE NOT HIGH PRIORITY IN MGMs OPINION.,311.2158412,4.445940588
KELA,-15.2833,26.2,Northern Province,Kafue,Northern > Kafue,East Of The Kafue River West Of The Itezhi-Itezhi Road,East Of The Kafue River West Of The Itezhi-Itezhi Road,Kela is approximately 48 KM south of the Mumbwa-Kafue road,Diamond,,,UNKNOWN,BARREN KIMBERLITE,GRANITE FORMS THE COUNTRY ROCK IN THE ENTIRE AREA THE THREE PIPES HAVE DIMENSIONS ELONGATED NW AS FOLLOWS: KB1 77 X 30 M KB2 38 X 30 M KB3 15 X 8 M THE KIMBERLITE IS SOFT GREEN WEATHERED WITH NO EVIDENCE OF SEDIMENTARY MATERIAL NO DIAMONDS WERE RECOVERED,THE OCCURRENCE APPEARS TO HAVE BEEN ADEQUATELY EXPLORED BY DE BEERS.,353.8606258,5.055151798
KALOLA,-15.1667,27.9167,Lusaka Province,Central Province,Lusaka > Central Province,Lusaka,Central Province,40 KM NW of Lusaka,Iron,,,UNKNOWN,SEDIMENTARY IRON FORMATION,SMALL SEDIMENTARY IRON FORMATION IN LOWER KATANGA CHUNGU FORMATION IT CONSISTS OF MAGNETITE AND HEMATITE IN QUARTZ SCHIST,Mineralization: IRON.,292.9058525,4.184369322
