Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,District/Town_Original
Star Zinc,-15.3,28.23333333333333,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,19 KM NORTH OF LUSAKA,Zinc,,,Active (Small Mining),"Eastern Body: 73,000 T @ 16.5% Zn. Western: 118,200 T @ 21.58% Zn [cite: 1175].",CARBONATE-HOSTED ZINC SILICATE,Two flat tabular bodies of willemite in massive limestone [cite: 1181-1182].,310.41197365987443,4.434456766569634,LUSAKA DISTRICT
Chisamba (Rmc 108/109),-15.35,28.9,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,70 KM ESE OF LUSAKA,Gold,,,Active,NIL,HYDROTHERMAL QUARTZ VEIN,System of N-trending quartz veins 0.3-0.9m wide.,333.06640027680106,4.758091432525729,CHONGWE AREA
Kasisi (Mo 262),-15.333333333333334,28.466666666666665,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,28 KM NE FROM LUSAKA,Gold,Copper,,Active,NIL,HYDROTHERMAL QUARTZ VEIN (?),Sugary quartz boulders with weathered iron oxides. One 14.1% Cu/0.85 g/t Au [cite: 1254-1255].,318.3814043624637,4.548305776606624,LUSAKA AREA
Moola (Mo 297),-15.0,28.0,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,35 KM SW OF LUSAKA,Gold,,,Active,UNKNOWN,QUARTZ VEINS,Brecciated quartz veins over 3.2 sq km. Best sample 1.7 g/t Au [cite: 1290-1293].,274.7624358434806,3.9251776549068658,LUSAKA AREA
Katuba,-15.083333333333334,28.116666666666667,Central Province,Kabwe,Central Province > Kabwe,3 Km West Of Great North Road,Kabwe,25-30 KM NORTH OF LUSAKA,Copper,Gold,,Active,Resource 15 Million T @ 0.2-0.4% Cu.,DISSEMINATED COPPER,Lenticular sheared amphibolite in granite gneiss. 6 zones 0.54-2.09% Cu.,285.0088256641777,4.071554652345396,3 KM WEST OF GREAT NORTH ROAD
Umfondesi (Mo 273),-15.9,28.633333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,30 KM SE OF LUSAKA,Gold,Copper,Silver,Active,UNKNOWN,HYDROTHERMAL VEIN,"Quartz vein 1.8m x 0.2m. 11.9% Cu, 5.5 g/t Au, 11 g/t Ag [cite: 1370-1372].",383.76061559381,5.482294508482999,LUSAKA GOLD LINEAMENT
Chipongwe (Rmc 214),-15.683333333333334,28.48333333333333,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,,Gold,,,Active,UNKNOWN,GOSSANS,Mapompo limestones with massive hematitic lenses. Gossans with traces Au [cite: 1376-1377].,356.86253073960114,5.098036153422873,LUSAKA GOLD LINEAMENT
Rmc 224,-15.816666666666666,28.616666666666667,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,,Gold,,,Active,UNKNOWN,DIABASE,"Diabase intrusive. 0-2 g/t Au, 2.7-6% Cu [cite: 1374-1375].",374.3298520652136,5.347569315217338,LUSAKA GOLD LINEAMENT
Mo 284,-15.633333333333333,28.466666666666665,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,,Gold,,,Active,UNKNOWN,QUARTZITE,Rubble of Cu-bearing quartzite assayed < 0.2 g/t Au [cite: 1378-1379].,351.06377895736983,5.01519684224814,LUSAKA GOLD LINEAMENT
Sachimundu,-15.616666666666667,28.45,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,,Gold,,,Active,UNKNOWN,VEINLETS,Small quartz veinlets cutting limestones < 0.5 g/t Au [cite: 1380-1381].,348.9069562320574,4.984385089029392,LUSAKA GOLD LINEAMENT
Rmc 194 (Mo 266),-15.45,28.33333333333333,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,,Gold,,,Active,UNKNOWN,VEIN,550m+ quartz vein in Lusaka Dolomite. Sample 1.6 g/t Au [cite: 1382-1383].,328.48715047497654,4.692673578213951,LUSAKA GOLD LINEAMENT
Coral Reef (Mo 289),-15.566666666666666,28.35,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,,Gold,,,Active,UNKNOWN,SILICIFIED BAND,"Silicified band with Cu. Sample 2% Cu, 0.5 g/t Au [cite: 1384-1385].",341.57868610970326,4.879695515852903,LUSAKA GOLD LINEAMENT
Kampokola (Mo 288),-15.6,28.4,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,,Gold,,,Active,UNKNOWN,VEIN,"Vein up to 0.9m wide. At 10m depth, 0.3m reported 2 g/t Au [cite: 1387-1388].",346.1217525629282,4.944596465184688,LUSAKA GOLD LINEAMENT
Lukwanda (Mo 287),-15.616666666666667,28.416666666666668,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,,Gold,,,Active,UNKNOWN,QUARTZITE,"Quartz rich facies with malachite. Sample 0.5 g/t Au, 6.5% Cu [cite: 1389-1390].",348.2582340241608,4.975117628916583,LUSAKA GOLD LINEAMENT
Rmc 226,-15.65,28.433333333333334,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,,Gold,,,Active,UNKNOWN,QUARTZITE,"Basal quartzite. Avg 10 samples 2.6% Cu, < 0.1 g/t Au [cite: 1391-1392].",352.2235316517801,5.031764737882574,LUSAKA GOLD LINEAMENT
Chumbwe,-15.566666666666666,28.83333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,64 KM ESE OF LUSAKA,Gold,,,Active,"Rough est 17,000 T @ 7.8 g/t Au.",HYDROTHERMAL QUARTZ VEIN,Auriferous quartz vein in fault. Surface enriched (51.4 g/t). Three shoots [cite: 1446-1450].,353.5756637625881,5.051080910894116,LUSAKA AREA
Mitaba Serpentinite,-15.666666666666666,28.966666666666665,Lusaka Province,Mkushi,Lusaka Province > Mkushi,South Of Mitaba River,Mkushi,90 KM SE OF LUSAKA,Nickel,,,Active,1.14 Million T @ 0.64% Ni (to 9.1m depth)[cite: 1506].,SURFACE ENRICHED NICKEL,"Peak Ni in serpentinite (up to 1% near surface), dropping to 0.3-0.4% at depth.",368.6338626815714,5.266198038308162,SOUTH OF MITABA RIVER
Tasaru (Mo 270),-15.65,28.75,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Mpande Dome Area,Mkushi,75 KM SE OF LUSAKA,Gold,Copper,,Active,UNKNOWN,HYDROTHERMAL VEIN,Quartz vein 0.3-0.4m exposed 250m. Dump material 12.3 g/t Au [cite: 1568-1569].,359.8934761291808,5.141335373274012,MPANDE DOME AREA
Moquise (Mikwizi),-15.533333333333331,28.633333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,38 KM EAST OF LUSAKA,Gold,,,Active,NONE,ELUVIAL GOLD,Eluvial gold overlying limestones of Cheta Group. Minor pyrite/malachite.,344.12222943588915,4.91603184908413,LUSAKA AREA
Sondera (Mo 301),-15.75,28.75,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Mpande Dome,Mkushi,62 KM SE OF LUSAKA,Gold,,,Active,NONE,HYDROTHERMAL VEIN,Ferruginous quartz vein cutting schists/gneiss. Avg 15 samples 2.2 g/t Au [cite: 1634-1636].,370.6073535079809,5.294390764399728,MPANDE DOME
Mvula (Copper),-15.833333333333334,28.633333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Kafue,Mkushi,50 KM SE OF LUSAKA,Copper,Gold,Silver,Active,NIL,DOLOMITE BRECCIA-HOSTED,Brecciated dolomitic siltstone to marble. Gold up to 6 g/t.,376.5356582704581,5.379080832435115,EAST OF KAFUE-CHIRUNDU ROAD
Mpande (Copper),-15.666666666666666,28.4,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Kafue,Kabwe,50 KM SE OF LUSAKA,Copper,Gold,Silver,Active,NIL,DOLOMITE BRECCIA-HOSTED,Best result 0.75% Cu over 7.23m.,353.4258524516574,5.048940749309391,EAST OF KAFUE-CHIRUNDU ROAD
Chipongwe Iron,-15.616666666666667,28.25,Lusaka Province,Kabwe,Lusaka Province > Kabwe,9 Km East Of Chipongwe Siding,Kabwe,29 KM SOUTH OF LUSAKA,Iron,,,Active,"Rubble: 40,000 T @ >65% Fe [cite: 1692].",SEDIMENTARY IRON FORMATION,Rubble of massive specularite over nose of NW plunging anticline [cite: 1698-1699].,345.557696094713,4.936538515638757,9 KM EAST OF CHIPONGWE SIDING
Kesya,-15.9,28.45,Lusaka Province,Kabwe,Lusaka Province > Kabwe,North Side Of Kesya River,Kabwe,32 KM SSE OF KAFUE,Copper,Rare Earths,,Active,NIL,CARBONATITE,"Two lopolith-shaped carbonatites described by BRGM. Stream sed 380 ppm Cu, 370 ppm Ni[cite: 1727].",379.90344438208217,5.427192062601174,NORTH SIDE OF KESYA RIVER
Mkwishi,-15.666666666666666,28.5,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,35 KM SE OF LUSAKA,Copper,Niobium,Rare Earths,Active,NONE,CARBONATITE,See comments re Kesya.,355.3942592225502,5.077060846036432,LUSAKA DISTRICT
Munali,-15.9,28.116666666666667,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Kafue,Kabwe,64 ROAD KM SSW OF LUSAKA,Nickel,Copper,Platinum,Dormant,Indicated: 2.06M T @ 1.1% Ni. MRD (1989) Geological East Zone: 13.45M T @ 1.07% Ni[cite: 3013].,LENSOID NICKEL SULPHIDE,"Ni mineralization at contact of Munali Gabbro. Sulphides pyrrhotite, pentlandite [cite: 3053-3058].",375.4614562775947,5.363735089679925,MUNALI HILLS (S OF KAFUE RIVER)
Mwiri Copper,-15.683333333333334,28.133333333333333,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Kafue,Kabwe,27 KM SOUTH OF LUSAKA,Copper,,,Active,NONE,STRATIFORM COPPER,Trench assayed 2.49% Cu over 8.2m. Best drill 1.10% Cu over 0.5m.,351.5975015569229,5.0228214508131845,KAFUE FLATS
Nickel Anomaly 'Y',-15.533333333333331,28.066666666666663,Lusaka Province,Kabwe,Lusaka Province > Kabwe,15 Km E Of Nampundwe,Kabwe,27 KM SW OF LUSAKA,Nickel,,,Active,NIL,DISSEMINATED NICKEL IN ULTRABASIC,Gabbro-peridotite. Best drill intercept 0.9% Ni from 50.8m.,334.406095101256,4.777229930017943,15 KM E OF NAMPUNDWE
Funswe (Mo 278),-15.75,28.433333333333334,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Mpande Dome,Kabwe,40 KM SSE OF LUSAKA,Gold,Copper,,Active,UNKNOWN,HYDROTHERMAL VEIN,Poorly exposed veinlets 0.6m width with 4 g/t Au[cite: 3216].,363.1672010920802,5.188102872744003,MPANDE DOME
Kechivere (Mo 294),-15.7,28.3,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Mpande Dome,Kabwe,40 KM SSE OF LUSAKA,Gold,,,Active,UNKNOWN,HYDROTHERMAL VEIN,Float-rubble assayed 3 g/t Au[cite: 3218].,355.4480285644572,5.077828979492246,MPANDE DOME
Muchito (Mjuto / Mo 298),-15.616666666666667,28.366666666666667,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Mpande Dome Area,Kabwe,25 KM SOUTH OF LUSAKA,Gold,,,Active,"12,000 cu m gravel. Best 0.4 g/t Au [cite: 3252-3254].",PLACER GOLD,Alluvial plain. Mean gold concentrations <0.1 g/t.,347.3526375237348,4.962180536053355,MPANDE DOME AREA
Namilo (Mochito / Mo 292),-15.616666666666667,28.366666666666667,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Mpande Dome Area,Kabwe,,Gold,,,Active,NIL,VEIN,"Vein 100m long. Values up to 30 g/t, avg 1.5 g/t[cite: 3246].",347.3526375237348,4.962180536053355,MPANDE DOME AREA
Mapompo (Mo 280),-15.616666666666667,28.366666666666667,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Mpande Dome Area,Kabwe,,Gold,,,Active,NIL,PLACER GOLD,Alluvial occurrence.,347.3526375237348,4.962180536053355,MPANDE DOME AREA
Namola (Mo 300),-15.616666666666667,28.366666666666667,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Mpande Dome Area,Kabwe,,Gold,,,Active,NIL,PLACER GOLD,Alluvial occurrence.,347.3526375237348,4.962180536053355,MPANDE DOME AREA
Mvula (Corundum),-15.25,29.03333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Kafue,Mkushi,,Corundum,,,Active,NIL,CONTACT METAMORPHIC,Corundum crystals (up to 4cm) in pockets in contact zone[cite: 3311].,327.972770782891,4.685325296898443,8 KM NNW OF KAFUE/KALEYA JCT
Rufunsa Corundum (Mo 162),-15.25,29.03333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Rufunsa,Mkushi,,Corundum,,,Active,NIL,CONTACT METAMORPHIC,Two localities. Crystals up to 1cm associated with kyanite [cite: 3313-3314].,327.972770782891,4.685325296898443,9 KM NW OF RUFUNSA
Mugoto (Mo 306),-15.25,29.03333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,4 Km W Of Chakela Hill (Nega Nega R.),Mkushi,,Mica,Corundum,,Active,NIL,PEGMATITE,"Pegmatite dykes worked for mica, contain poor quality corundum [cite: 3316-3317].",327.972770782891,4.685325296898443,4 KM W OF CHAKELA HILL (NEGA NEGA R.)
Kaurashishi East (Mo 137),-15.35,29.8,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Rufunsa,Mkushi,33 KM SSE OF RUFUNSA,Copper,Gold,Bismuth,Active,UNKNOWN,HYDROTHERMAL QUARTZ VEIN,Vein 122m x 3m. Central portion assayed 4.6 g/t Au[cite: 3340].,377.3211487212937,5.39030212458991,RUFUNSA AREA
Mo 140,-15.5,29.666666666666668,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Rufunsa,Mkushi,85 KM S OF GREAT EAST ROAD,Copper,Gold,,Active,NIL,METAVOLCANICS,Grab samples 2.4% Cu / 1.5 g/t Au[cite: 3385].,383.69733256479793,5.481390465211399,KANGALUWI GROUP (S OF RUFUNSA)
Mo 141 (Chiwjyu),-15.5,29.666666666666668,Central Province,Mkushi,Central Province > Mkushi,Kangaluwi Group,Mkushi,85 KM S OF GREAT EAST ROAD,Gold,,,Active,NIL,EPIDOTE-TOURMALINE STOCKWORK,High Au values. Main shaft 3.57% Cu over 10m [cite: 3386-3387].,383.69733256479793,5.481390465211399,KANGALUWI GROUP
Chiwjyu East Extension,-15.5,29.666666666666668,Central Province,Mkushi,Central Province > Mkushi,Kangaluwi Group,Mkushi,,Copper,,,Active,NIL,VEIN,Orebody average 3.9% Cu over 3.5m[cite: 3387].,383.69733256479793,5.481390465211399,KANGALUWI GROUP
Kangaluwi / Kalulu (Mo 142/143),-15.5,29.666666666666668,Central Province,Mkushi,Central Province > Mkushi,Kangaluwi Group,Mkushi,85 KM S OF GREAT EAST ROAD,Copper,Gold,,Active,NIL,QUARTZITE/SCHIST,5km strike disseminated malachite. Assays to 8.1% Cu [cite: 3388-3389].,383.69733256479793,5.481390465211399,KANGALUWI GROUP
Mo 144,-15.5,29.666666666666668,Central Province,Mkushi,Central Province > Mkushi,Kangaluwi Group,Mkushi,85 KM S OF GREAT EAST ROAD,Copper,,,Active,Resource 1.5 Million T @ 0.5% Cu.,QUARTZITE,Disseminated chalcocite 300 x 5m. Best drill 0.57% Cu over 9.5m [cite: 3395-3396].,383.69733256479793,5.481390465211399,KANGALUWI GROUP
Chisua (Mo 145),-15.5,29.666666666666668,Central Province,Mkushi,Central Province > Mkushi,Kangaluwi Group,Mkushi,85 KM S OF GREAT EAST ROAD,Copper,,,Active,NIL,PHYLLITE,Disseminated malachite. Adit #2: 1.59% Cu over 4.9m [cite: 3398-3400].,383.69733256479793,5.481390465211399,KANGALUWI GROUP
Chakwenga Beryl (Mo 148),-15.5,29.58333333333333,Central Province,Mkushi,Central Province > Mkushi,Chakwenga River,Mkushi,45 KM SOUTH OF RUFUNSA,Beryl,Amazonite,,Active,UNKNOWN,BERYL PEGMATITE,Float from pegmatite dykes. Amazonite patchy over 30m [cite: 3444-3446].,379.1851632257702,5.416930903225289,CHAKWENGA RIVER
Kamakonde (Mo 155),-15.4,29.633333333333333,Central Province,Mkushi,Central Province > Mkushi,Kamakonde Group,Mkushi,120 KM EAST OF LUSAKA,Copper,Gold,,Active,UNKNOWN,HYDROTHERMAL VEIN,Two quartz veinlets. Best grab 16.4% Cu and 2.4 g/t Au[cite: 3474].,372.33252663437145,5.319036094776735,KAMAKONDE GROUP
Rmc 141 (Kamakonde),-15.45,29.633333333333333,Central Province,Mkushi,Central Province > Mkushi,Kamakonde Group,Mkushi,,Copper,Gold,Silver,Active,UNKNOWN,LENSES/VEINS,"Grab samples 21.9% Cu, 0.5 g/t Au, 48 g/t Ag[cite: 3474].",377.0922011062096,5.387031444374423,KAMAKONDE GROUP
Rmc 195 (Kamakonde),-15.416666666666666,29.683333333333334,Central Province,Mkushi,Central Province > Mkushi,Kamakonde Group,Mkushi,,Copper,,,Active,UNKNOWN,LENSES,Mineralized lenses assayed 3.6% Cu and 2.4% Cu[cite: 3474].,376.7208277866426,5.381726111237751,KAMAKONDE GROUP
Rmc 146 (Kamakonde),-15.466666666666669,29.6,Central Province,Mkushi,Central Province > Mkushi,Kamakonde Group,Mkushi,,Gold,,,Active,UNKNOWN,ELUVIAL/SHEAR,Eluvial occurrence. Best grab sample 11 g/t Au[cite: 3474].,376.8695038391343,5.383850054844776,KAMAKONDE GROUP
Rmc 145 (Kamakonde),-15.383333333333333,29.633333333333333,Central Province,Mkushi,Central Province > Mkushi,Kamakonde Group,Mkushi,,Copper,,,Active,UNKNOWN,LENSES,Rubble and float similar to RMC 141[cite: 3474].,370.7509114852097,5.296441592645853,KAMAKONDE GROUP
Kyebwe,-15.266666666666667,29.0,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chinyunyu Dome,Mkushi,80 KM EAST OF LUSAKA,Gold,Tungsten,,Active,UNKNOWN,HYDROTHERMAL VEIN,"Brecciated quartz veins. Scheelite, wolframite, gold[cite: 1756].",328.30178239905393,4.690025462843628,CHINYUNYU DOME
Geelong Malunda,-15.0,29.0,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Rufunsa,Mkushi,35 KM EAST OF RUFUNSA,Gold,Bismuth,,Active,UNKNOWN,QUARTZ VEIN,Quartz veins 0.6-1.2m wide. Best value 1.4 g/t Au[cite: 1793].,301.0896517709148,4.301280739584498,RUFUNSA AREA
Kaurashishi (Mo 136),-15.333333333333334,29.766666666666666,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Rufunsa,Mkushi,28 KM SSE OF RUFUNSA,Gold,Copper,Bismuth,Active,UNKNOWN,HYDROTHERMAL QUARTZ VEINS,Five veins. Vein B (160m long) assayed 4.8 g/t Au over 4.4m [cite: 1827-1832].,373.786396068668,5.339805658123828,RUFUNSA AREA
Moiya (Mo 149/152),-15.0,29.0,North-Western Province,Mkushi,North-Western Province > Mkushi,Zambezi,Mkushi,4 KM WEST OF CHAKWENGA,Gold,,,Active,UNKNOWN,QUARTZ VEIN SEGREGATIONS,Quartz fragments over 213 x 152m. Values up to 170 g/t Au[cite: 1866].,301.0896517709148,4.301280739584498,LOWER ZAMBEZI NATIONAL PARK
Misangombe,-15.45,29.35,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Rufunsa,Mkushi,104 KM EAST OF LUSAKA,Copper,,,Active,NIL,SHEAR ZONE COPPER,Sheared quartzite. Zone 1.00-1.30% Cu over 4.6m [cite: 1896-1897].,362.4521231447311,5.177887473496159,RUFUNSA AREA
Ikondo Kyaosa,-15.5,29.316666666666663,North-Western Province,Mkushi,North-Western Province > Mkushi,Zambezi,Mkushi,100 KM EAST OF LUSAKA,Gold,,,Active,NIL,ALLUVIAL OCCURRENCE,Gold in sediments of Ikondo River.,365.85811755776194,5.226544536539456,WEST EDGE LOWER ZAMBEZI PARK
Mukonje,-15.333333333333334,29.15,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Head Of Musangashi River,Mkushi,90 KM EAST OF LUSAKA,Gold,Nickel,,Active,NIL,NICKELIFEROUS GABBRO,Large ultramafic body. Best geochem 2750 ppm Ni.,341.493712066989,4.878481600956986,HEAD OF MUSANGASHI RIVER
Chiboleka (Mo 175),-15.433333333333334,29.28333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,100 KM EAST OF LUSAKA,Gold,,,Active,NIL,HYDROTHERMAL QUARTZ VEIN,Low gold values in tourmaline bearing quartz veinlets [cite: 1996-1997].,357.6292967107813,5.108989953011162,LUSAKA AREA
Munyanja (Mo 308),-15.4,28.966666666666665,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM SE OF LUSAKA,Gold,,,Active,NIL,HYDROTHERMAL QUARTZ VEIN,Quartz vein rubble assayed Nil to 6 g/t Au[cite: 1998].,340.77176384259894,4.86816805489427,LUSAKA AREA
Kaiyenda A,-15.0,29.0,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Rufunsa,Mkushi,60 KM SE OF RUFUNSA,Gold,Copper,Bismuth,Active,UNKNOWN,QUARTZ VEINS,Narrow stringers. Max 2.9 g/t Au[cite: 2036].,301.0896517709148,4.301280739584498,RUFUNSA AREA
Kaiyenda B,-15.0,29.0,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Rufunsa,Mkushi,,Gold,Copper,Bismuth,Active,UNKNOWN,QUARTZ VEINS,0.3m wide limonitic quartz vein assayed 36.7 and 24.3 g/t Au[cite: 2036].,301.0896517709148,4.301280739584498,RUFUNSA AREA
Kaiyenda C,-15.0,29.0,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Rufunsa,Mkushi,,Gold,Copper,Bismuth,Active,UNKNOWN,QUARTZ VEINS,Two 18m long veins. Selected samples up to 11 and 221 g/t Au[cite: 2037].,301.0896517709148,4.301280739584498,RUFUNSA AREA
Kaiyenda D,-15.0,29.0,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Rufunsa,Mkushi,,Gold,Copper,Bismuth,Active,UNKNOWN,QUARTZ VEINS,"0.09m wide quartz stringer. Assays 11.2, 4.5, 25.7, 43.2 g/t Au[cite: 2037].",301.0896517709148,4.301280739584498,RUFUNSA AREA
Cheowa (Mo 185),-15.533333333333331,29.116666666666667,North-Western Province,Mkushi,North-Western Province > Mkushi,Zambezi,Mkushi,145 KM SE OF LUSAKA,Copper,Gold,,Active,"Oxide: 302,000 ST @ 2.25% Cu. Sulphide: 341,000 ST @ 4.25% Cu [cite: 2075-2076].",SHEAR ZONE,Major ENE shear zone. Adit X-cut averaged 2.20% Cu over 5.4m [cite: 2087-2091].,360.4824038170577,5.149748625957967,15 KM NORTH OF ZAMBEZI RIVER
Neningombe West (Mo 181),-15.533333333333331,29.116666666666667,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Cheowa Group Area,Mkushi,,Copper,,,Active,Unknown.,SHEAR ZONE,Adit 23.8m long. Channels 0.75-6.0% Cu. Best gold 9.9 g/t [cite: 2092-2093].,360.4824038170577,5.149748625957967,CHEOWA GROUP AREA
Weocha,-15.533333333333331,29.116666666666667,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Cheowa Group Area,Mkushi,,Copper,,,Active,Unknown.,SHEAR ZONE,Part of Cheowa structure.,360.4824038170577,5.149748625957967,CHEOWA GROUP AREA
Mpata (Gorge) Area,-15.5,30.0,Central Province,Mkushi,Central Province > Mkushi,Feira Prohibited Area,Mkushi,65 KM SE OF RUFUNSA,Nickel,Chrome,Platinum,Active,NIL,ULTRABASIC DYKE,Hypersthene norites. Ni anomaly between 100 & 2000 ppm[cite: 2123].,403.247700642602,5.760681437751457,FEIRA PROHIBITED AREA
Paulwi Hill,-15.6,29.416666666666668,North-Western Province,Mkushi,North-Western Province > Mkushi,Zambezi,Mkushi,120 KM ESE OF LUSAKA,Nickel,Copper,Asbestos,Active,NIL,SILICATE NICKEL MINERALIZATION,Ultrabasic complex. Serpentinite carries 0.2-0.3% Ni (silicates) [cite: 2214-2224].,380.56351014889975,5.436621573555711,NORTH BANK OF ZAMBEZI RIVER
Chindulwe,-15.516666666666667,29.23333333333333,North-Western Province,Mkushi,North-Western Province > Mkushi,Zambezi,Mkushi,100 KM EAST OF LUSAKA,Copper,Gold,,Active,See Cheowa.,DISSEMINATIONS,Copper disseminations in basic metavolcanics. Cu and Au in quartz veins [cite: 2260-2262].,363.7486888182321,5.196409840260459,WEST EDGE LOWER ZAMBEZI PARK
Chasweta,-15.333333333333334,30.28333333333333,Central Province,Mkushi,Central Province > Mkushi,12 Km Ese Of Katondwe Mission,Mkushi,75 KM ESE OF RUFUNSA,Phosphate,Barite,Niobium,Active,NIL,CARBONATITE,"Eroded relic twin volcano. Soil values 0.3% Nb2O5, 3.25% P2O5[cite: 2290].",407.2926416355182,5.818466309078831,12 KM ESE OF KATONDWE MISSION
Kaluwe,-15.183333333333334,30.0,Central Province,Mkushi,Central Province > Mkushi,20 Km West Of Katondwe Mission,Mkushi,60 KM SSE OF RUFUNSA,Phosphate,Niobium,Iron,Feasibility Evaluation,Soils: 6.6M T @ 5.7% P2O5. Rock: 207M T @ 2.5% P2O5[cite: 2324].,CARBONATITE,Carbonatite conformable in Karoo sediments. 9.6km long[cite: 2330].,375.0918648787339,5.358455212553341,20 KM WEST OF KATONDWE MISSION
Mwambuto,-15.316666666666666,30.166666666666668,Central Province,Mkushi,Central Province > Mkushi,12 Km Sw Of Katondwe Mission,Mkushi,70 KM ESE OF RUFUNSA,Phosphate,Barite,Niobium,Active,NIL,CARBONATITE,Isolated ring of hills. Soil sampling avg 3.5% P2O5[cite: 2369].,397.85477363122914,5.683639623303273,12 KM SW OF KATONDWE MISSION
Nchoncho,-14.983333333333333,30.05,Central Province,Mkushi,Central Province > Mkushi,Katondwe Area,Mkushi,30 KM NW OF KATONDWE,Gold,Bismuth,,Active,"6,000 T @ 0.25% Bi[cite: 2387].",HYDROTHERMAL QUARTZ VEIN,Several veins 0.9-2.1m wide. Traces to 0.4% Bi [cite: 2408-2409].,361.478482353492,5.1639783193356,KATONDWE AREA
Nkaseka Hill (Mo 121),-15.016666666666667,30.05,Central Province,Mkushi,Central Province > Mkushi,Katondwe Area,Mkushi,,Gold,Bismuth,,Active,Unknown.,HYDROTHERMAL QUARTZ VEIN,Best value 3.7 g/t Au[cite: 2413].,364.268629711044,5.203837567300628,KATONDWE AREA
Mulambwa (Mo 119-120),-15.0,30.1,Central Province,Mkushi,Central Province > Mkushi,Katondwe Area,Mkushi,,Gold,,,Active,Unknown.,RUBBLE,Rubble and float assayed traces to 4.5 g/t Au[cite: 2417].,366.4293806186971,5.234705437409959,KATONDWE AREA
Mo 118,-14.983333333333333,30.23333333333333,Central Province,Mkushi,Central Province > Mkushi,Katondwe Area,Mkushi,,Gold,,,Active,Unknown.,PLACER,Pan concentrates produced only a few gold colours.,374.7887332052432,5.354124760074903,KATONDWE AREA
Mo 125,-15.0,30.116666666666667,Central Province,Mkushi,Central Province > Mkushi,Katondwe Area,Mkushi,,Gold,Bismuth,Copper,Active,Unknown.,VEIN,"8 samples 1.7-3.4 g/t Au, one assayed 81.6 g/t [cite: 2420-2422].",367.6253095321181,5.251790136173115,KATONDWE AREA
